SABOR,UNIDADE,QUANTIDADE,DATA,DIA DA SEMANA
AMEIXA,CONJ. NACIONAL,0,01/04/2026,quarta-feira
AMEIXA,LOJINHA,0,01/04/2026,quarta-feira
AMEIXA,SUDOESTE 1,0,01/04/2026,quarta-feira
AMEIXA,SUDOESTE 2,1,01/04/2026,quarta-feira
AMEIXA,GUARA,2,01/04/2026,quarta-feira
AMEIXA,JARDIM,1,01/04/2026,quarta-feira
AMEIXA,GILBERTO,0,01/04/2026,quarta-feira
AMEIXA,BAHAMAS,1,01/04/2026,quarta-feira
AMEIXA,CONTAINER,0,01/04/2026,quarta-feira
AMEIXA,POSTO,1,01/04/2026,quarta-feira
AMEIXA,ARNIQUEIRA,0,01/04/2026,quarta-feira
AMEIXA,EPNB,0,01/04/2026,quarta-feira
AMEIXA,GAMA,0,01/04/2026,quarta-feira
AMEIXA,RECANTO,0,01/04/2026,quarta-feira
AMEIXA,SAMAMBAIA,1,01/04/2026,quarta-feira
AMEIXA,SAMAMBAIA SUL,0,01/04/2026,quarta-feira
AMEIXA,PONTE ALTA,0,01/04/2026,quarta-feira
AMEIXA,ALAMEDA,0,01/04/2026,quarta-feira
AMEIXA,TAGUATINGA,0,01/04/2026,quarta-feira
AMEIXA,CEILANDIA,1,01/04/2026,quarta-feira
AMEIXA,VICENTE PIRES,0,01/04/2026,quarta-feira
PRESTIGIO,QUADRA 1,0,01/04/2026,quarta-feira
PRESTIGIO,CENTRAL,0,01/04/2026,quarta-feira
PRESTIGIO,NOROESTE,1,01/04/2026,quarta-feira
PRESTIGIO,ASA SUL,3,01/04/2026,quarta-feira
PRESTIGIO,ASA NORTE,3,01/04/2026,quarta-feira
PRESTIGIO,CONJ. NACIONAL,1,01/04/2026,quarta-feira
PRESTIGIO,LOJINHA,1,01/04/2026,quarta-feira
PRESTIGIO,SUDOESTE 1,2,01/04/2026,quarta-feira
PRESTIGIO,SUDOESTE 2,2,01/04/2026,quarta-feira
PRESTIGIO,GUARA,2,01/04/2026,quarta-feira
PRESTIGIO,JARDIM,2,01/04/2026,quarta-feira
PRESTIGIO,GILBERTO,1,01/04/2026,quarta-feira
PRESTIGIO,BAHAMAS,1,01/04/2026,quarta-feira
PRESTIGIO,CONTAINER,1,01/04/2026,quarta-feira
PRESTIGIO,POSTO,0,01/04/2026,quarta-feira
PRESTIGIO,ARNIQUEIRA,0,01/04/2026,quarta-feira
PRESTIGIO,EPNB,0,01/04/2026,quarta-feira
PRESTIGIO,GAMA,2,01/04/2026,quarta-feira
PRESTIGIO,RECANTO,1,01/04/2026,quarta-feira
PRESTIGIO,SAMAMBAIA,2,01/04/2026,quarta-feira
PRESTIGIO,SAMAMBAIA SUL,0,01/04/2026,quarta-feira
PRESTIGIO,PONTE ALTA,0,01/04/2026,quarta-feira
PRESTIGIO,ALAMEDA,1,01/04/2026,quarta-feira
PRESTIGIO,TAGUATINGA,1,01/04/2026,quarta-feira
PRESTIGIO,CEILANDIA,0,01/04/2026,quarta-feira
PRESTIGIO,VICENTE PIRES,1,01/04/2026,quarta-feira
CHURROS,QUADRA 1,0,01/04/2026,quarta-feira
CHURROS,CENTRAL,0,01/04/2026,quarta-feira
CHURROS,NOROESTE,0,01/04/2026,quarta-feira
CHURROS,ASA SUL,3,01/04/2026,quarta-feira
CHURROS,ASA NORTE,4,01/04/2026,quarta-feira
CHURROS,CONJ. NACIONAL,2,01/04/2026,quarta-feira
CHURROS,LOJINHA,0,01/04/2026,quarta-feira
CHURROS,SUDOESTE 1,2,01/04/2026,quarta-feira
CHURROS,SUDOESTE 2,1,01/04/2026,quarta-feira
CHURROS,GUARA,2,01/04/2026,quarta-feira
CHURROS,JARDIM,2,01/04/2026,quarta-feira
CHURROS,GILBERTO,1,01/04/2026,quarta-feira
CHURROS,BAHAMAS,1,01/04/2026,quarta-feira
CHURROS,CONTAINER,1,01/04/2026,quarta-feira
CHURROS,POSTO,1,01/04/2026,quarta-feira
CHURROS,ARNIQUEIRA,0,01/04/2026,quarta-feira
CHURROS,EPNB,0,01/04/2026,quarta-feira
CHURROS,GAMA,2,01/04/2026,quarta-feira
CHURROS,RECANTO,1,01/04/2026,quarta-feira
CHURROS,SAMAMBAIA,1,01/04/2026,quarta-feira
CHURROS,SAMAMBAIA SUL,1,01/04/2026,quarta-feira
CHURROS,PONTE ALTA,0,01/04/2026,quarta-feira
CHURROS,ALAMEDA,0,01/04/2026,quarta-feira
CHURROS,TAGUATINGA,2,01/04/2026,quarta-feira
CHURROS,CEILANDIA,1,01/04/2026,quarta-feira
CHURROS,VICENTE PIRES,1,01/04/2026,quarta-feira
NINHO,QUADRA 1,8,01/04/2026,quarta-feira
NINHO,CENTRAL,6,01/04/2026,quarta-feira
NINHO,NOROESTE,14,01/04/2026,quarta-feira
NINHO,ASA SUL,13,01/04/2026,quarta-feira
